"variable","count","mean","sd","min","max"
"electricity_infrastructure",8730,0.720898610257627,0.42094800115215,0,1
"F_pct_elect",8730,0.60210393083386,0.32773482044634,0,1
"matlab_instrument",8730,0.592272987247097,0.471718051877747,0,1
"popdens",8730,62.7086315470917,292.186021227121,0.0405448600649834,10097.8623046875
"F_totalrescap_house",8730,13.0476228664526,8.36956886290227,0.428387969732285,62.5332794189453
"F_HDI_popave",8730,0.557257203742407,0.169369894016735,0.154970332980156,0.886000037193298
"F_HDIlongevity_popave",8730,0.56907994355772,0.117280112352614,0.169754728674889,0.880723893642426
"F_HDIrenda_popav",8730,0.471702837680296,0.286861095538404,0.0126761663705111,1.13458657264709
"F_HDIeducation_popave",8730,0.514764022900553,0.154227772422157,0.0749999955296516,0.87661463022232
"F_econ_active_pct",8730,0.364103758451184,0.0695798135567244,0.1747707426548,0.629542648792267
"F_employed_pct",8730,0.346971858716978,0.0629795038044944,0.131719008088112,0.613076508045197
"F_urbanemployed_pct",8730,0.338305487531535,0.0687730143489617,0.0996131524443626,0.605897486209869
"F_ruralemployed_pct",8685,0.348747792676152,0.0684981086878128,0,0.741134762763977
"F_yearsschool_popave",8730,2.77118687285852,1.55107583502576,9.99999968265523e-21,9.61040782928467
"F_illiteracy",8730,31.9952977103602,17.9643357611636,1.79999995231628,89.9000015258789
"F_renda_pc",8730,0.113669915105524,0.0848177608760652,0.00430843839421868,0.78724330663681
"F_hc_pc",6549,19.0641216305599,7.1150602978441,6.56900453567505,59.0054779052734
"F_migration",4366,0.0721759667536442,0.041239135205421,0,0.328547090291977
"F_life_expect_popave",8730,60.0989761977397,7.80993965690848,38.4000015258789,76.9209976196289
"F_popdens",8730,78.5029794748449,372.907197834858,0.0420767553150654,11732.1728515625
"F_urbanpctpop",8730,0.51700425394486,0.241292987291668,0.0227733589708805,1
"F_poverty_popave",8730,60.4693029872883,24.919570642562,3.80999994277954,99.879997253418
"F_Theil_popave",8730,0.459362907381675,0.130979812100747,0.100000001490116,1.25999999046326
"F_infant_mort_popave",8730,71.9612077120367,50.6301818695867,6.93100023269653,303.660003662109
"F_l4edu_popave",8730,65.2479952366497,21.1602976527689,9.0705738067627,99.8000030517578
"F_runningwater_pcthouses",8730,0.393055546038073,0.281854956611464,0,0.993314504623413
"F_san_pcthouses",8730,0.193814883195017,0.26742596524864,0,0.977770507335663
"F_carspcthouses",4366,0.00599928620528385,0.00923516504580377,0,0.131793484091759
"landslope",8730,1.642271779264,2.01382673692448,0,21.7630500793457
